Time,Temperature,Humidity,Air Quality,Light,Loudness
1623781306,37.94,28.94,75,644,106
1623781316,37.94,29,75,645,145
1623781326,37.88,28.88,75,644,146
1623781336,37.72,28.94,75,646,139
1623781346,37.69,29.19,75,644,155
1623781356,37.78,29.06,75,644,163
1623781366,37.91,29,75,644,153
1623781376,38.06,28.88,75,643,149
1623781386,38.12,28.69,75,643,150
1623781396,38.16,28.62,75,643,153
1623781406,38.06,28.69,75,643,143
1623781416,37.94,28.75,75,644,142
1623781426,37.88,28.88,75,643,138
1623781436,37.94,29,75,644,146
1623781446,38.03,28.94,75,643,152
1623781456,38.03,28.88,75,645,149
1623781466,37.94,28.81,75,643,116
1623781476,37.94,28.81,75,643,132
1623781486,37.94,28.88,75,643,176
1623781496,37.97,28.81,75,644,164
1623781506,37.94,28.69,75,646,148
1623781516,37.88,28.69,75,646,160
1623781526,37.88,28.69,75,644,142
1623781536,37.84,28.62,75,643,154
1623781546,37.81,28.81,75,643,161
1623781556,37.88,28.88,75,643,161
1623781566,37.97,28.81,75,643,128
1623781576,38.03,28.69,75,646,166
1623781586,38.06,28.56,75,643,132
1623781596,37.97,28.56,75,644,124
1623781606,37.97,28.62,75,643,132
1623781616,37.88,28.62,75,644,124
1623781626,37.88,28.69,75,644,155
1623781636,38.06,28.69,75,644,135
1623781646,38.09,28.62,75,645,127
1623781656,38.03,28.56,75,644,138
1623781666,38,28.62,75,645,164
1623781676,38.09,28.62,75,644,159
1623781686,38.09,28.5,75,643,163
1623781696,38.12,28.44,75,644,161
1623781706,38.16,28.44,75,645,150
1623781716,38.09,28.38,75,643,146
1623781726,38.09,28.44,75,643,129
1623781736,38,28.38,75,643,140
1623781746,37.81,28.44,75,644,152
1623781756,37.91,28.75,75,643,131
1623781766,37.94,28.81,75,645,141
1623781776,37.91,28.81,75,643,129
1623781786,37.84,28.88,75,643,148
1623781796,37.91,28.94,75,644,128
1623781806,37.97,28.88,75,646,148
1623781816,38.09,28.81,75,645,179
1623781826,38.12,28.62,75,646,139
1623781836,38.12,28.69,75,645,157
1623781846,38.03,28.69,75,643,160
1623781856,38.09,28.62,75,643,161
1623781866,38,28.69,75,644,146
1623781876,38,28.69,75,644,160
1623781886,37.94,28.5,75,644,130
1623781896,37.84,28.56,75,644,144
1623781906,37.69,28.75,75,644,153
1623781916,37.62,28.94,75,645,141
1623781926,37.56,29.12,75,644,166
1623781936,37.66,29.25,75,643,184
1623781946,37.78,29.12,75,644,135
1623781956,37.72,29.12,75,643,152
1623781966,37.69,29.19,75,646,151
1623781976,37.75,29.25,75,644,141
1623781986,37.78,29.06,75,644,173
1623781996,37.81,29.12,75,645,130
1623782006,37.84,29,75,644,145
1623782016,37.72,29,75,646,134
1623782026,37.75,29.12,75,643,149
1623782036,37.91,29.12,75,643,132
1623782046,37.94,28.94,75,643,154
1623782056,37.94,28.94,75,643,147
1623782066,37.88,28.81,75,643,153
1623782076,37.84,28.88,75,643,162
1623782086,37.81,28.81,75,644,127
1623782096,37.78,28.88,75,643,164
1623782106,37.72,28.94,75,643,148
